date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-02-08,2299.0328125,23.56951923076923,2179.507455516014,2090.5747633587785,2374.323684210526,2639.072005988024,2335.2938170347,2049.493465648855,2165.7105202158323,2232.0894558888845,66.88824644662391,-0.3307586144978377,6,2,1
2026-02-09,2052.9058787878785,107.08275757575757,2299.0328125,2113.0255924170615,2149.4458598726114,2510.7858823529414,2557.7498723404256,2012.9895468277946,2151.9190943465846,2199.3837413485226,79.55412102806292,0.023728563201591113,0,2,1
2026-02-10,2065.216614285714,86.0523857142857,2052.9058787878785,2179.507455516014,2173.9098297213623,2203.4118864468865,2595.6833012048196,2089.290409448819,2136.391492141492,2189.5126504798673,84.96973150284282,-0.014376401642168801,1,2,1
2026-02-11,2042.3922455089821,88.01041916167665,2065.216614285714,2299.0328125,2154.477328125,2249.3439743589743,2309.7306501547987,2265.5627368421056,2120.379337482061,2174.730384133439,91.31736678236113,-0.007810833777556869,2,2,1
2026-02-12,2006.4215664556962,99.5662341772152,2042.3922455089821,2052.9058787878785,2090.5747633587785,2274.120064516129,2295.637636080871,2405.0272952853597,2108.357452210192,2155.6090628434085,100.92864617852806,0.21801019603649086,3,2,1
2026-02-13,2037.7425705329154,102.83504702194357,2006.4215664556962,2065.216614285714,2113.0255924170615,2206.3467136150234,2466.0090579710145,2262.4369855072464,2097.6027347981717,2143.565909766115,104.30290190242467,0.19309721664269475,4,2,1
2026-02-14,2186.176104166667,104.517875,2037.7425705329154,2042.3922455089821,2179.507455516014,2270.946535433071,2425.00661682243,2309.2571168437025,2098.555398891122,2137.510878961372,105.20224773810926,1.0091740002366993,5,2,1
2026-02-15,2288.4582338902146,34.72348448687351,2186.176104166667,2006.4215664556962,2299.0328125,2374.323684210526,2281.8232154882153,2280.4026067746686,2097.0447448040095,2131.377632509921,101.86674008878308,0.47323685930526516,6,2,1
2026-02-16,2054.8425535168194,104.51853211009174,2288.4582338902146,2037.7425705329154,2052.9058787878785,2149.4458598726114,2381.0460769230767,2335.2865497076023,2097.3214126224298,2124.6202534845074,101.72941729458304,-0.023946203139676547,0,2,1
2026-02-17,2046.399515151515,87.10307575757575,2054.8425535168194,2186.176104166667,2065.216614285714,2173.9098297213623,2551.6338874680305,2428.4190476190474,2094.6332556032585,2115.5123738723755,102.96033565347032,0.01220988859946992,1,2,1
2026-02-18,2043.1138124054462,94.34352496217852,2046.399515151515,2288.4582338902146,2042.3922455089821,2154.477328125,2351.4508196721313,2411.886561954625,2094.7363365884676,2107.5578370352646,102.89965971693603,0.07195859150344286,2,2,1
2026-02-19,2067.1112235649543,71.7426586102719,2043.1138124054462,2054.8425535168194,2006.4215664556962,2090.5747633587785,2344.5876823338735,2633.9088729016785,2103.4062876040757,2105.8818699071344,96.58115043046581,-0.2794479051745683,3,2,1
2026-02-20,2054.5381047765795,94.07117103235748,2067.1112235649543,2046.399515151515,2037.7425705329154,2113.0255924170615,2286.960505529226,2331.985250737463,2105.805649638885,2101.704192218528,94.87148210155601,-0.0852226574828715,4,2,1
2026-02-21,2093.8120707964604,98.29233628318583,2054.5381047765795,2043.1138124054462,2186.176104166667,2179.507455516014,2303.9480844155846,2339.0422537313434,2092.6107877288555,2095.5830933099887,88.00501311814504,-0.0595643445373738,5,2,1
2026-02-22,2233.9881235154394,36.77396674584323,2093.8120707964604,2067.1112235649543,2288.4582338902146,2299.0328125,2377.7255913978493,2385.014167962675,2084.829343389602,2090.937044096806,67.91755636762983,0.05905174233723187,6,2,1
